,time_stamp,hash,time
610,1.49515E+12,65113444.99,2017-05-19T00:00:00Z
611,1.49524E+12,71391920.16,2017-05-20T00:00:00Z
612,1.49532E+12,72637853.63,2017-05-21T00:00:00Z
613,1.49541E+12,69174012.6,2017-05-22T00:00:00Z
614,1.4955E+12,64696169.76,2017-05-23T00:00:00Z
615,1.49558E+12,67701060.99,2017-05-24T00:00:00Z
616,1.49567E+12,70805268.1,2017-05-25T00:00:00Z
617,1.49576E+12,74180952.46,2017-05-26T00:00:00Z
618,1.49584E+12,75775035.27,2017-05-27T00:00:00Z
619,1.49593E+12,78790677.49,2017-05-28T00:00:00Z
620,1.49602E+12,75756593.13,2017-05-29T00:00:00Z
621,1.4961E+12,75205825.2,2017-05-30T00:00:00Z
622,1.49619E+12,75685355.13,2017-05-31T00:00:00Z
623,1.49628E+12,72657495.68,2017-06-01T00:00:00Z
624,1.49636E+12,75173464.03,2017-06-02T00:00:00Z
625,1.49645E+12,78932214.53,2017-06-03T00:00:00Z
626,1.49653E+12,79309367.18,2017-06-04T00:00:00Z
627,1.49662E+12,85391019,2017-06-05T00:00:00Z
628,1.49671E+12,82061919.86,2017-06-06T00:00:00Z
629,1.49679E+12,73739006.78,2017-06-07T00:00:00Z
630,1.49688E+12,78668187.92,2017-06-08T00:00:00Z
631,1.49697E+12,83811982.71,2017-06-09T00:00:00Z
632,1.49705E+12,82382978.58,2017-06-10T00:00:00Z
633,1.49714E+12,76503237.49,2017-06-11T00:00:00Z
634,1.49723E+12,86457658.2,2017-06-12T00:00:00Z
